Class,Precision,Recall,F1_Score
001.ak47,0.8,0.7272727272727273,0.7619047619047619
002.american-flag,0.875,0.6363636363636364,0.7368421052631579
003.backpack,0.8461538461538461,0.6875,0.7586206896551724
004.baseball-bat,0.7,0.5,0.5833333333333334
005.baseball-glove,0.7222222222222222,0.8125,0.7647058823529411
006.basketball-hoop,0.75,0.6666666666666666,0.7058823529411765
007.bat,0.8181818181818182,0.75,0.782608695652174
008.bathtub,0.6896551724137931,0.8333333333333334,0.7547169811320755
009.bear,0.7142857142857143,0.45454545454545453,0.5555555555555556
010.beer-mug,0.8571428571428571,0.6,0.7058823529411765
011.billiards,0.7428571428571429,0.896551724137931,0.8125
012.binoculars,0.8076923076923077,0.9130434782608695,0.8571428571428571
013.birdbath,0.8181818181818182,0.8181818181818182,0.8181818181818182
014.blimp,0.8888888888888888,0.8,0.8421052631578947
015.bonsai-101,1.0,0.8461538461538461,0.9166666666666666
016.boom-box,0.875,0.7,0.7777777777777778
017.bowling-ball,0.7777777777777778,0.6363636363636364,0.7
018.bowling-pin,0.5,0.5454545454545454,0.5217391304347826
019.boxing-glove,0.6153846153846154,0.6153846153846154,0.6153846153846154
020.brain-101,0.8,0.8888888888888888,0.8421052631578947
021.breadmaker,0.9230769230769231,0.8,0.8571428571428571
022.buddha-101,0.7777777777777778,0.6363636363636364,0.7
023.bulldozer,0.8333333333333334,0.9090909090909091,0.8695652173913043
024.butterfly,0.6923076923076923,0.75,0.72
025.cactus,0.6153846153846154,0.6666666666666666,0.64
026.cake,0.4,0.3333333333333333,0.36363636363636365
027.calculator,0.9090909090909091,1.0,0.9523809523809523
028.camel,0.8571428571428571,0.5454545454545454,0.6666666666666666
029.cannon,0.42105263157894735,0.7272727272727273,0.5333333333333333
030.canoe,0.4,0.18181818181818182,0.25
031.car-tire,0.6666666666666666,0.8888888888888888,0.7619047619047619
032.cartman,0.75,0.8181818181818182,0.782608695652174
033.cd,0.7777777777777778,0.6363636363636364,0.7
034.centipede,0.9090909090909091,1.0,0.9523809523809523
035.cereal-box,0.6666666666666666,0.8,0.7272727272727273
036.chandelier-101,0.8181818181818182,0.75,0.782608695652174
037.chess-board,0.8,0.6666666666666666,0.7272727272727273
038.chimp,1.0,0.7272727272727273,0.8421052631578947
039.chopsticks,0.46153846153846156,0.6666666666666666,0.5454545454545454
040.cockroach,0.8461538461538461,0.8461538461538461,0.8461538461538461
041.coffee-mug,0.7692307692307693,1.0,0.8695652173913043
042.coffin,0.5,0.3,0.375
043.coin,0.7692307692307693,0.7692307692307693,0.7692307692307693
044.comet,0.7333333333333333,0.8461538461538461,0.7857142857142857
045.computer-keyboard,0.8888888888888888,0.8888888888888888,0.8888888888888888
046.computer-monitor,0.75,0.6428571428571429,0.6923076923076923
047.computer-mouse,0.7142857142857143,0.5,0.5882352941176471
048.conch,0.7142857142857143,0.45454545454545453,0.5555555555555556
049.cormorant,1.0,0.9166666666666666,0.9565217391304348
050.covered-wagon,0.875,0.6363636363636364,0.7368421052631579
051.cowboy-hat,0.7,0.5833333333333334,0.6363636363636364
052.crab-101,0.8,0.8888888888888888,0.8421052631578947
053.desk-globe,0.8,0.8888888888888888,0.8421052631578947
054.diamond-ring,0.55,0.8461538461538461,0.6666666666666666
055.dice,0.42857142857142855,0.5454545454545454,0.48
056.dog,0.6923076923076923,0.8181818181818182,0.75
057.dolphin-101,0.9,0.75,0.8181818181818182
058.doorknob,0.8333333333333334,0.5,0.625
059.drinking-straw,0.5,0.1111111111111111,0.18181818181818182
060.duck,0.8571428571428571,0.6,0.7058823529411765
061.dumb-bell,0.8,0.36363636363636365,0.5
062.eiffel-tower,1.0,0.7777777777777778,0.875
063.electric-guitar-101,0.9230769230769231,0.9230769230769231,0.9230769230769231
064.elephant-101,0.9333333333333333,1.0,0.9655172413793104
065.elk,1.0,0.7272727272727273,0.8421052631578947
066.ewer-101,0.75,1.0,0.8571428571428571
067.eyeglasses,0.8333333333333334,0.5555555555555556,0.6666666666666666
068.fern,0.8181818181818182,0.8181818181818182,0.8181818181818182
069.fighter-jet,0.5,0.18181818181818182,0.26666666666666666
070.fire-extinguisher,0.875,0.7777777777777778,0.8235294117647058
071.fire-hydrant,0.75,0.5454545454545454,0.631578947368421
072.fire-truck,0.7647058823529411,1.0,0.8666666666666667
073.fireworks,0.5833333333333334,0.7,0.6363636363636364
074.flashlight,0.5454545454545454,0.5,0.5217391304347826
075.floppy-disk,0.5,0.5555555555555556,0.5263157894736842
076.football-helmet,0.7272727272727273,0.8888888888888888,0.8
077.french-horn,1.0,1.0,1.0
078.fried-egg,0.75,0.6666666666666666,0.7058823529411765
079.frisbee,0.6666666666666666,0.7272727272727273,0.6956521739130435
080.frog,0.6363636363636364,0.5384615384615384,0.5833333333333334
081.frying-pan,0.6,0.9,0.72
082.galaxy,1.0,0.7777777777777778,0.875
083.gas-pump,0.75,0.6,0.6666666666666666
084.giraffe,0.875,0.7777777777777778,0.8235294117647058
085.goat,0.6666666666666666,0.5,0.5714285714285714
086.golden-gate-bridge,1.0,0.875,0.9333333333333333
087.goldfish,1.0,0.6,0.75
088.golf-ball,0.8181818181818182,0.8181818181818182,0.8181818181818182
089.goose,0.8181818181818182,0.8181818181818182,0.8181818181818182
090.gorilla,0.7777777777777778,0.9545454545454546,0.8571428571428571
091.grand-piano-101,0.8888888888888888,0.8,0.8421052631578947
092.grapes,0.7368421052631579,0.6666666666666666,0.7
093.grasshopper,0.7692307692307693,0.8333333333333334,0.8
094.guitar-pick,1.0,1.0,1.0
095.hamburger,0.8181818181818182,0.9,0.8571428571428571
096.hammock,0.7058823529411765,0.8275862068965517,0.7619047619047619
097.harmonica,0.6666666666666666,0.8,0.7272727272727273
098.harp,1.0,1.0,1.0
099.harpsichord,0.8333333333333334,0.625,0.7142857142857143
100.hawksbill-101,0.9090909090909091,1.0,0.9523809523809523
101.head-phones,0.8,0.8,0.8
102.helicopter-101,0.5333333333333333,0.8,0.64
103.hibiscus,0.7692307692307693,0.8333333333333334,0.8
104.homer-simpson,0.6153846153846154,0.7272727272727273,0.6666666666666666
105.horse,0.6,0.7777777777777778,0.6774193548387096
106.horseshoe-crab,0.8,0.8,0.8
107.hot-air-balloon,1.0,0.8,0.8888888888888888
108.hot-dog,0.75,0.6666666666666666,0.7058823529411765
109.hot-tub,0.9333333333333333,0.8235294117647058,0.875
110.hourglass,0.8571428571428571,0.6666666666666666,0.75
111.house-fly,1.0,0.8888888888888888,0.9411764705882353
112.human-skeleton,1.0,0.8888888888888888,0.9411764705882353
113.hummingbird,0.9090909090909091,0.7692307692307693,0.8333333333333334
114.ibis-101,0.8333333333333334,0.8333333333333334,0.8333333333333334
115.ice-cream-cone,1.0,0.6,0.75
116.iguana,0.8333333333333334,0.8333333333333334,0.8333333333333334
117.ipod,0.8333333333333334,0.7692307692307693,0.8
118.iris,0.8181818181818182,0.75,0.782608695652174
119.jesus-christ,0.7142857142857143,0.5,0.5882352941176471
120.joy-stick,0.6875,0.8461538461538461,0.7586206896551724
121.kangaroo-101,0.8,0.8888888888888888,0.8421052631578947
122.kayak,0.5,0.6363636363636364,0.56
123.ketch-101,0.9230769230769231,1.0,0.96
124.killer-whale,0.6666666666666666,0.8,0.7272727272727273
125.knife,0.625,0.45454545454545453,0.5263157894736842
